row;;column;KX_1;KY_1;KZ_1;KX_2;KY_2;KZ_2;KX_3;KY_3;KZ_3;KX_4;KY_4;KZ_4;KX_5;KY_5;KZ_5;KX_6;KY_6;KZ_6;KX_7;KY_7;KZ_7;;
1;;1;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;2;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;3;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;4;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;5;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;6;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;7;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;8;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;9;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;10;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;11;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;12;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;13;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;14;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;15;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
1;;16;1;1;1;15;15;1.5;15;15;1.5;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;0.3;0.3;0.003;;
