WellName ~ WellType ~ ObsPoint ~ Species ~ ObsTime ~ ObsValue ~ Confidence ~ InterpValue
5444-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -58.81366423 ~ 1 ~ 0
5479-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -81.76737308 ~ 1 ~ 0
5491-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -50.9133655 ~ 1 ~ 0
5528-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 11.39172923 ~ 1 ~ 0
5567-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -18.98471062 ~ 1 ~ 0
5569-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -48.96205209 ~ 1 ~ 0
5592-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -5.431445901 ~ 1 ~ 0
5599-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 5.218178717 ~ 1 ~ 0
5600-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 2.797183094 ~ 1 ~ 0
5633-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 34.37702058 ~ 1 ~ 0
5634-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -11.75673621 ~ 1 ~ 0
5635-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -6.756736212 ~ 1 ~ 0
5636-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -12.75673621 ~ 1 ~ 0
5637-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 2.629749119 ~ 1 ~ 0
5645-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -48.99246426 ~ 1 ~ 0
5647-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -4.628610899 ~ 1 ~ 0
5648-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -20.04794076 ~ 1 ~ 0
5728-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -67.94173586 ~ 1 ~ 0
5736-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 7.423463277 ~ 1 ~ 0
5738-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -90.62651304 ~ 1 ~ 0
5740-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 10.62974912 ~ 1 ~ 0
5741-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 6.243263788 ~ 1 ~ 0
5759-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -68.22134093 ~ 1 ~ 0
5782-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 13.33773302 ~ 1 ~ 0
5783-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 42.57212569 ~ 1 ~ 0
5784-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 47.44856433 ~ 1 ~ 0
5786-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 8.650702489 ~ 1 ~ 0
5797-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -63.51052027 ~ 1 ~ 0
5800-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -75.1944194 ~ 1 ~ 0
5813-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 5.310072454 ~ 1 ~ 0
5821-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 21.24534635 ~ 1 ~ 0
5822-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 18.24534635 ~ 1 ~ 0
5823-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 15.17596993 ~ 1 ~ 0
5824-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 15.17596993 ~ 1 ~ 0
5825-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 16.17596993 ~ 1 ~ 0
5826-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 9.518850888 ~ 1 ~ 0
5841-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -24.37396874 ~ 1 ~ 0
5842-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -2.926967481 ~ 1 ~ 0
5846-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 8.442659235 ~ 1 ~ 0
5851-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -13.95762771 ~ 1 ~ 0
5855-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 20.72211813 ~ 1 ~ 0
5864-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -28.15969601 ~ 1 ~ 0
5871-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -0.358117411 ~ 1 ~ 0
5875-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -3.954622271 ~ 1 ~ 0
5877-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ -8.913365502 ~ 1 ~ 0
5895-P_13 ~ Flow ~ 1 ~ Head ~ 1 ~ 1.725473853 ~ 1 ~ 0
5911-P_14 ~ Flow ~ 1 ~ Head ~ 1 ~ -86.71485016 ~ 1 ~ 0
