WellName ~ WellType ~ X ~ Y ~ Active ~ Radius ~ ZMin ~ ZMax
5444-P_13 ~ Flow ~ 13402.03785 ~ 19667.41321 ~ true ~ 0 ~ -2369.30005 ~ 0.676559985
5479-P_13 ~ Flow ~ 13765.00359 ~ 24703.57395 ~ true ~ 0 ~ -2486.8999 ~ 1.23989999
5491-P_13 ~ Flow ~ 9915.838614 ~ 17453.37416 ~ true ~ 0 ~ -1219.69995 ~ 12.691
5528-P_13 ~ Flow ~ 11288.85374 ~ 23472.55126 ~ true ~ 0 ~ -1553.09998 ~ 11.24793875
5567-P_13 ~ Flow ~ 12966.86344 ~ 8229.08582 ~ true ~ 0 ~ -2207.30005 ~ 2.82929993
5569-P_13 ~ Flow ~ 13195.83109 ~ 18475.06602 ~ true ~ 0 ~ -2326.30005 ~ 1.25010002
5592-P_13 ~ Flow ~ 14011.98711 ~ 17765.86247 ~ true ~ 0 ~ -2584.1001 ~ 0.991550028
5599-P_13 ~ Flow ~ 6801.589814 ~ 12833.35201 ~ true ~ 0 ~ -631.969971 ~ 10.6680002
5600-P_13 ~ Flow ~ 11160.91611 ~ 20704.19408 ~ true ~ 0 ~ -1502.19995 ~ 8.52680016
5633-P_13 ~ Flow ~ 13508.45307 ~ 1321.13148 ~ true ~ 0 ~ -2465.1001 ~ 2.35080004
5634-P_13 ~ Flow ~ 13661.88769 ~ 1616.606254 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
5635-P_13 ~ Flow ~ 13632.70844 ~ 1616.084957 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
5636-P_13 ~ Flow ~ 13610.56358 ~ 1619.859445 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
5637-P_13 ~ Flow ~ 13502.48082 ~ 1778.113794 ~ true ~ 0 ~ -2465.1001 ~ 2.35080004
5645-P_13 ~ Flow ~ 13148.95986 ~ 20570.44043 ~ true ~ 0 ~ -2326.30005 ~ 1.25010002
5647-P_13 ~ Flow ~ 9067.722676 ~ 18085.98994 ~ true ~ 0 ~ -1129 ~ 10.0710001
5648-P_13 ~ Flow ~ 12956.11304 ~ 7976.582333 ~ true ~ 0 ~ -2207.30005 ~ 2.82929993
5728-P_13 ~ Flow ~ 13835.57678 ~ 27429.11949 ~ true ~ 0 ~ -2491 ~ 0.80151999
5736-P_13 ~ Flow ~ 12671.32553 ~ 23385.7206 ~ true ~ 0 ~ -2140.1001 ~ 1.35590005
5738-P_13 ~ Flow ~ 13658.85747 ~ 24755.81593 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
5740-P_13 ~ Flow ~ 13585.98254 ~ 1623.242349 ~ true ~ 0 ~ -2465.1001 ~ 2.35080004
5741-P_13 ~ Flow ~ 13621.82733 ~ 1572.571615 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
5759-P_13 ~ Flow ~ 12011.23131 ~ 28343.47215 ~ true ~ 0 ~ -1912.40002 ~ 7.36439991
5782-P_13 ~ Flow ~ 9521.697605 ~ 8158.434975 ~ true ~ 0 ~ -1219.69995 ~ 12.691
5783-P_13 ~ Flow ~ 4291.891885 ~ 25872.26152 ~ true ~ 0 ~ -495.549988 ~ 20.5459995
5784-P_13 ~ Flow ~ 4293.99234 ~ 25916.40959 ~ true ~ 0 ~ -495.549988 ~ 24.03735216
5786-P_13 ~ Flow ~ 5445.277479 ~ 5487.336225 ~ true ~ 0 ~ -572.820007 ~ 12.651
