WellName~ WellType~ ScreenID~ ZTop~ ZBottom~ Rwell
006-P_98~ Pumping~ 1~ -9.314852e+01~ -1.994763e+02~  1.000000e+00
013-P_98~ Pumping~ 1~ -5.174432e+01~ -1.992846e+02~  1.000000e+00
014-P_98~ Pumping~ 1~ -8.125807e+01~ -1.994317e+02~  1.000000e+00
015-P_98~ Pumping~ 1~ -1.890368e+01~ -1.991268e+02~  1.000000e+00
016-P_98~ Pumping~ 1~ -1.729734e+01~ -1.991218e+02~  1.000000e+00
017-P_98~ Pumping~ 1~ -3.175812e+01~ -1.992020e+02~  1.000000e+00
018-P_98~ Pumping~ 1~ -9.035479e+01~ -1.994644e+02~  1.000000e+00
022-P_05~ Pumping~ 1~ -6.495907e+01~ -1.993214e+02~  1.000000e+00
023-P_98~ Pumping~ 1~ -6.932404e+01~ -1.993788e+02~  1.000000e+00
031-P_98~ Pumping~ 1~  1.438832e+01~  5.198953e+00~  1.000000e+00
032-P_98~ Pumping~ 1~ -5.691176e+00~ -3.441360e+01~  1.000000e+00
039-P_98~ Pumping~ 1~ -8.098440e+01~ -1.994212e+02~  1.000000e+00
041-P_98~ Pumping~ 1~ -2.901162e+01~ -1.991996e+02~  1.000000e+00
043-P_98~ Pumping~ 1~  1.438832e+01~  5.198953e+00~  1.000000e+00
0446-P_98~ Pumping~ 1~  1.165705e+01~ -1.990695e+02~  1.000000e+00
047-P_98~ Pumping~ 1~ -5.634495e+01~ -1.993102e+02~  1.000000e+00
049-P_98~ Pumping~ 1~ -3.506992e+01~ -1.398835e+02~  1.000000e+00
051-P_98~ Pumping~ 1~ -3.720620e+01~ -1.992351e+02~  1.000000e+00
053-P_98~ Pumping~ 1~ -2.719721e+01~ -1.991652e+02~  1.000000e+00
1000-P_99~ Pumping~ 1~ -3.368293e+01~ -1.109233e+02~  1.000000e+00
1001-P_99~ Pumping~ 1~ -3.761842e+01~ -1.992189e+02~  1.000000e+00
1002-P_99~ Pumping~ 1~ -6.398400e+01~ -1.993332e+02~  1.000000e+00
1003-P_99~ Pumping~ 1~ -4.350963e+01~ -1.992474e+02~  1.000000e+00
1004-P_99~ Pumping~ 1~ -6.766784e+01~ -1.993611e+02~  1.000000e+00
1007-P_99~ Pumping~ 1~ -5.745954e+01~ -1.993216e+02~  1.000000e+00
1008-P_99~ Pumping~ 1~ -4.350963e+01~ -1.992474e+02~  1.000000e+00
1013-P_99~ Pumping~ 1~ -7.470171e+01~ -1.993704e+02~  1.000000e+00
1014-P_99~ Pumping~ 1~ -7.312221e+01~ -1.993624e+02~  1.000000e+00
101-P_98~ Pumping~ 1~ -3.982856e+01~ -1.992288e+02~  1.000000e+00
1024-P_99~ Pumping~ 1~ -4.980263e+01~ -1.993286e+02~  1.000000e+00
102-P_98~ Pumping~ 1~ -2.375616e+01~ -1.991527e+02~  1.000000e+00
1032-P_99~ Pumping~ 1~  1.489472e+01~  1.182332e+01~  1.000000e+00
1034-P_99~ Pumping~ 1~ -2.901162e+01~ -1.991996e+02~  1.000000e+00
1035-P_99~ Pumping~ 1~ -2.943712e+01~ -1.991762e+02~  1.000000e+00
1036-P_99~ Pumping~ 1~ -4.458144e+01~ -1.992539e+02~  1.000000e+00
1037-P_99~ Pumping~ 1~ -4.191534e+01~ -1.992288e+02~  1.000000e+00
1038-P_99~ Pumping~ 1~ -3.682749e+01~ -1.992258e+02~  1.000000e+00
1039-P_99~ Pumping~ 1~ -3.518216e+01~ -1.992034e+02~  1.000000e+00
103-P_98~ Pumping~ 1~ -3.147757e+01~ -1.991944e+02~  1.000000e+00
1040-P_99~ Pumping~ 1~  7.464332e+00~ -2.433842e+01~  1.000000e+00
1041-P_99~ Pumping~ 1~ -3.259580e+01~ -1.991966e+02~  1.000000e+00
1042-P_99~ Pumping~ 1~  1.433174e+01~  8.015012e+00~  1.000000e+00
1043-P_99~ Pumping~ 1~  1.433174e+01~  8.015012e+00~  1.000000e+00
1045-P_99~ Pumping~ 1~  1.341808e+01~  1.113167e+01~  1.000000e+00
1046-P_99~ Pumping~ 1~ -5.045652e+01~ -1.993050e+02~  1.000000e+00
104-P_98~ Pumping~ 1~ -3.426144e+01~ -1.992755e+02~  1.000000e+00
105-P_98~ Pumping~ 1~ -7.339661e+01~ -1.993638e+02~  1.000000e+00
1065-P_99~ Pumping~ 1~ -4.978468e+01~ -1.865297e+02~  1.000000e+00
1066-P_99~ Pumping~ 1~ -7.973384e+01~ -1.994151e+02~  1.000000e+00
1067-P_99~ Pumping~ 1~ -3.741379e+01~ -1.992261e+02~  1.000000e+00
106-P_98~ Pumping~ 1~ -1.890368e+01~ -1.991268e+02~  1.000000e+00
1075-P_99~ Pumping~ 1~ -5.627022e+01~ -1.993350e+02~  1.000000e+00
107-P_98~ Pumping~ 1~ -7.697745e+01~ -1.994001e+02~  1.000000e+00
1086-P_99~ Pumping~ 1~ -6.090212e+01~ -1.993323e+02~  1.000000e+00
1087-P_99~ Pumping~ 1~ -4.110576e+01~ -1.992375e+02~  1.000000e+00
1088-P_99~ Pumping~ 1~ -3.644174e+01~ -1.206618e+02~  1.000000e+00
1089-P_99~ Pumping~ 1~ -3.395909e+01~ -1.991930e+02~  1.000000e+00
1094-P_99~ Pumping~ 1~  2.812795e+01~  1.858014e+01~  1.000000e+00
1106-P_99~ Pumping~ 1~  1.849860e+01~ -1.991317e+02~  1.000000e+00
1107-P_99~ Pumping~ 1~ -6.239240e+01~ -1.993085e+02~  1.000000e+00
1109-P_99~ Pumping~ 1~ -2.884703e+01~ -1.220689e+02~  1.000000e+00
1110-P_99~ Pumping~ 1~ -3.557408e+01~ -4.251094e+01~  1.000000e+00
1111-P_99~ Pumping~ 1~ -4.441216e+01~ -1.992465e+02~  1.000000e+00
1112-P_99~ Pumping~ 1~  2.859742e+01~  2.058444e+01~  1.000000e+00
1113-P_99~ Pumping~ 1~  3.032974e+01~  1.936570e+01~  1.000000e+00
1119-P_99~ Pumping~ 1~ -7.203274e+01~ -1.993569e+02~  1.000000e+00
1126-P_99~ Pumping~ 1~ -2.893522e+01~ -9.429661e+01~  1.000000e+00
112-P_98~ Pumping~ 1~ -2.722072e+01~ -1.351987e+02~  1.000000e+00
1130-P_99~ Pumping~ 1~  9.751574e+00~ -2.904163e+01~  1.000000e+00
1133-P_99~ Pumping~ 1~ -7.866526e+01~ -1.993903e+02~  1.000000e+00
1137-P_99~ Pumping~ 1~ -8.468334e+01~ -1.994483e+02~  1.000000e+00
1138-P_99~ Pumping~ 1~ -4.262138e+01~ -1.992092e+02~  1.000000e+00
1139-P_99~ Pumping~ 1~ -6.142500e+01~ -1.993306e+02~  1.000000e+00
1141-P_99~ Pumping~ 1~ -6.973599e+01~ -1.993788e+02~  1.000000e+00
1142-P_99~ Pumping~ 1~ -4.322091e+01~ -1.992537e+02~  1.000000e+00
1143-P_99~ Pumping~ 1~  2.751795e+01~  2.039464e+01~  1.000000e+00
1144-P_99~ Pumping~ 1~  2.859742e+01~  2.058444e+01~  1.000000e+00
1145-P_99~ Pumping~ 1~  2.751795e+01~  2.039464e+01~  1.000000e+00
1146-P_99~ Pumping~ 1~  2.859742e+01~  2.058444e+01~  1.000000e+00
1147-P_99~ Pumping~ 1~  2.667736e+01~  1.386680e+01~  1.000000e+00
1150-P_99~ Pumping~ 1~  2.667736e+01~  1.386680e+01~  1.000000e+00
1151-P_99~ Pumping~ 1~  2.751795e+01~  2.039464e+01~  1.000000e+00
1152-P_99~ Pumping~ 1~  1.639777e+01~  1.218237e+01~  1.000000e+00
1153-P_99~ Pumping~ 1~  1.140774e+01~ -1.370231e+00~  1.000000e+00
1154-P_99~ Pumping~ 1~ -5.896665e+01~ -1.992913e+02~  1.000000e+00
1155-P_99~ Pumping~ 1~  1.500340e+01~  1.116138e+01~  1.000000e+00
1156-P_99~ Pumping~ 1~  1.340577e+01~  6.052575e+00~  1.000000e+00
1157-P_99~ Pumping~ 1~  1.300352e+01~ -2.587535e+01~  1.000000e+00
1160-P_99~ Pumping~ 1~ -4.110576e+01~ -1.992375e+02~  1.000000e+00
1161-P_99~ Pumping~ 1~ -6.289580e+01~ -1.993280e+02~  1.000000e+00
1162-P_99~ Pumping~ 1~ -7.384311e+01~ -1.993660e+02~  1.000000e+00
1164-P_99~ Pumping~ 1~ -6.867562e+01~ -1.993649e+02~  1.000000e+00
1168-P_99~ Pumping~ 1~ -7.400474e+01~ -1.994236e+02~  1.000000e+00
1172-P_99~ Pumping~ 1~  1.340577e+01~  6.052575e+00~  1.000000e+00
1173-P_99~ Pumping~ 1~  1.340577e+01~  6.052575e+00~  1.000000e+00
1174-P_99~ Pumping~ 1~ -5.282124e+01~ -1.992808e+02~  1.000000e+00
1176-P_99~ Pumping~ 1~ -6.118342e+01~ -1.993886e+02~  1.000000e+00
1177-P_99~ Pumping~ 1~ -5.938758e+01~ -1.993590e+02~  1.000000e+00
1178-P_99~ Pumping~ 1~  1.432503e+01~ -1.776245e+02~  1.000000e+00
1180-P_99~ Pumping~ 1~ -7.565203e+01~ -1.993973e+02~  1.000000e+00
1181-P_99~ Pumping~ 1~ -6.017671e+01~ -1.992974e+02~  1.000000e+00
1182-P_99~ Pumping~ 1~  3.403085e+01~  1.781386e+01~  1.000000e+00
1183-P_99~ Pumping~ 1~  1.639777e+01~  1.218237e+01~  1.000000e+00
1184-P_99~ Pumping~ 1~ -3.737826e+01~ -1.609950e+02~  1.000000e+00
1186-P_99~ Pumping~ 1~ -4.775123e+01~ -1.992519e+02~  1.000000e+00
1187-P_99~ Pumping~ 1~ -4.311818e+01~ -1.992685e+02~  1.000000e+00
1188-P_99~ Pumping~ 1~ -5.490568e+01~ -1.992709e+02~  1.000000e+00
1189-P_99~ Pumping~ 1~ -3.304639e+01~ -1.992097e+02~  1.000000e+00
1191-P_99~ Pumping~ 1~  2.446429e+01~  1.399859e+01~  1.000000e+00
1207-P_99~ Pumping~ 1~  2.386271e+01~  1.787271e+01~  1.000000e+00
1208-P_99~ Pumping~ 1~  2.491313e+01~  1.892313e+01~  1.000000e+00
1209-P_99~ Pumping~ 1~  2.734849e+01~  2.135850e+01~  1.000000e+00
120-P_98~ Pumping~ 1~ -4.480617e+01~ -1.992395e+02~  1.000000e+00
1210-P_99~ Pumping~ 1~  2.796444e+01~  2.197444e+01~  1.000000e+00
1211-P_99~ Pumping~ 1~  2.796444e+01~  2.197444e+01~  1.000000e+00
1213-P_99~ Pumping~ 1~  2.950763e+01~  2.351763e+01~  1.000000e+00
1214-P_99~ Pumping~ 1~ -6.875451e+01~ -1.994219e+02~  1.000000e+00
121-P_98~ Pumping~ 1~  9.317558e+00~ -2.561735e+01~  1.000000e+00
1221-P_99~ Pumping~ 1~  7.203333e+00~ -2.360726e+01~  1.000000e+00
1222-P_99~ Pumping~ 1~  1.149803e+01~ -1.605540e+01~  1.000000e+00
1223-P_99~ Pumping~ 1~ -6.513174e+01~ -1.993223e+02~  1.000000e+00
1224-P_99~ Pumping~ 1~ -1.295877e+00~ -1.991498e+02~  1.000000e+00
1225-P_99~ Pumping~ 1~ -7.312221e+01~ -1.993624e+02~  1.000000e+00
1227-P_99~ Pumping~ 1~ -3.585557e+01~ -1.992251e+02~  1.000000e+00
1228-P_99~ Pumping~ 1~ -4.149750e+01~ -1.992439e+02~  1.000000e+00
1229-P_99~ Pumping~ 1~ -4.775123e+01~ -1.992519e+02~  1.000000e+00
122-P_98~ Pumping~ 1~ -5.596699e+01~ -1.993226e+02~  1.000000e+00
123-P_98~ Pumping~ 1~  1.688075e+01~  1.166095e+01~  1.000000e+00
124-P_98~ Pumping~ 1~  1.642861e+00~ -1.507987e+01~  1.000000e+00
128-P_98~ Pumping~ 1~ -2.827806e+01~ -9.772246e+01~  1.000000e+00
1295-P_99~ Pumping~ 1~ -6.118342e+01~ -1.993886e+02~  1.000000e+00
1296-P_99~ Pumping~ 1~ -2.580525e+01~ -1.991609e+02~  1.000000e+00
1297-P_99~ Pumping~ 1~ -1.822915e+01~ -1.991254e+02~  1.000000e+00
1298-P_99~ Pumping~ 1~ -4.643723e+01~ -1.992626e+02~  1.000000e+00
1299-P_99~ Pumping~ 1~ -5.601012e+01~ -1.993107e+02~  1.000000e+00
1300-P_99~ Pumping~ 1~ -6.031017e+01~ -1.993340e+02~  1.000000e+00
1304-P_99~ Pumping~ 1~  7.130129e+00~ -3.867282e+01~  1.000000e+00
1305-P_99~ Pumping~ 1~ -4.500311e+01~ -1.992612e+02~  1.000000e+00
1307-P_99~ Pumping~ 1~ -7.322508e+01~ -1.993629e+02~  1.000000e+00
1308-P_99~ Pumping~ 1~ -7.295582e+01~ -1.993616e+02~  1.000000e+00
1309-P_99~ Pumping~ 1~ -6.089473e+01~ -1.993010e+02~  1.000000e+00
1310-P_99~ Pumping~ 1~  5.706701e+01~  2.023435e+01~  1.000000e+00
1312-P_99~ Pumping~ 1~ -3.368623e+01~ -1.992487e+02~  1.000000e+00
1313-P_99~ Pumping~ 1~  7.881290e+00~ -2.356153e+01~  1.000000e+00
1314-P_99~ Pumping~ 1~  1.341808e+01~  1.113167e+01~  1.000000e+00
1317-P_99~ Pumping~ 1~ -3.863187e+01~ -1.992167e+02~  1.000000e+00
1318-P_99~ Pumping~ 1~ -7.369481e+01~ -1.981754e+02~  1.000000e+00
1319-P_99~ Pumping~ 1~ -4.410318e+01~ -1.992608e+02~  1.000000e+00
131-P_98~ Pumping~ 1~ -4.656856e+01~ -1.992979e+02~  1.000000e+00
1320-P_99~ Pumping~ 1~ -7.786012e+01~ -1.994159e+02~  1.000000e+00
1321-P_99~ Pumping~ 1~ -8.519570e+01~ -1.994423e+02~  1.000000e+00
1322-P_99~ Pumping~ 1~ -4.591414e+01~ -1.992660e+02~  1.000000e+00
1323-P_99~ Pumping~ 1~ -4.591414e+01~ -1.992660e+02~  1.000000e+00
1324-P_99~ Pumping~ 1~ -5.662487e+01~ -1.993911e+02~  1.000000e+00
132-P_98~ Pumping~ 1~ -6.525593e+01~ -1.993560e+02~  1.000000e+00
1331-P_99~ Pumping~ 1~ -4.775123e+01~ -1.992519e+02~  1.000000e+00
1332-P_99~ Pumping~ 1~ -5.921625e+01~ -1.992925e+02~  1.000000e+00
1333-P_99~ Pumping~ 1~  1.370937e+01~  1.034682e+01~  1.000000e+00
1334-P_99~ Pumping~ 1~  1.370937e+01~  1.034682e+01~  1.000000e+00
1337-P_99~ Pumping~ 1~  2.454765e+01~ -1.989394e+02~  1.000000e+00
1338-P_99~ Pumping~ 1~  1.365968e+01~ -1.834322e+00~  1.000000e+00
1344-P_99(B)~ Pumping~ 1~  6.894109e+00~ -1.990674e+02~  1.000000e+00
1346-P_99~ Pumping~ 1~ -4.311273e+00~ -1.991237e+02~  1.000000e+00
1353-P_99~ Pumping~ 1~ -8.706087e+01~ -1.994325e+02~  1.000000e+00
1354-P_99~ Pumping~ 1~ -8.654242e+01~ -1.994526e+02~  1.000000e+00
1365-P_99~ Pumping~ 1~  2.778631e+01~  2.179631e+01~  1.000000e+00
1366-P_99~ Pumping~ 1~  2.771094e+01~  2.172094e+01~  1.000000e+00
1368-P_99~ Pumping~ 1~  2.386271e+01~  1.787271e+01~  1.000000e+00
1370-P_99~ Pumping~ 1~ -4.314954e+01~ -1.992639e+02~  1.000000e+00
1371-P_99~ Pumping~ 1~ -8.972470e+01~ -1.995035e+02~  1.000000e+00
1372-P_99~ Pumping~ 1~ -5.095085e+01~ -1.992710e+02~  1.000000e+00
1373-P_99~ Pumping~ 1~ -3.998060e+01~ -1.992355e+02~  1.000000e+00
1387-P_99~ Pumping~ 1~ -4.317367e+01~ -1.852690e+02~  1.000000e+00
1389-P_99~ Pumping~ 1~ -4.069575e+01~ -1.859143e+02~  1.000000e+00
138-P_98~ Pumping~ 1~  1.292287e+01~ -5.550497e+00~  1.000000e+00
1390-P_99~ Pumping~ 1~ -3.915298e+01~ -1.992832e+02~  1.000000e+00
1391-P_99~ Pumping~ 1~ -7.144787e+01~ -1.993753e+02~  1.000000e+00
1392-P_99~ Pumping~ 1~ -5.367470e+01~ -1.992985e+02~  1.000000e+00
1393-P_99~ Pumping~ 1~ -4.563571e+01~ -1.992680e+02~  1.000000e+00
1394-P_99~ Pumping~ 1~ -7.214836e+01~ -1.993575e+02~  1.000000e+00
1397-P_99~ Pumping~ 1~ -8.347955e+01~ -1.994145e+02~  1.000000e+00
1398-P_99~ Pumping~ 1~ -6.488495e+01~ -1.993453e+02~  1.000000e+00
1399-P_99~ Pumping~ 1~ -6.488495e+01~ -1.993453e+02~  1.000000e+00
1401-P_99~ Pumping~ 1~ -7.697745e+01~ -1.994001e+02~  1.000000e+00
1404-P_99~ Pumping~ 1~ -8.743612e+01~ -1.994489e+02~  1.000000e+00
1414-P_99~ Pumping~ 1~ -3.102362e+01~ -1.862624e+02~  1.000000e+00
1415-P_99~ Pumping~ 1~  2.754511e+01~  1.656438e+01~  1.000000e+00
1419-P_99~ Pumping~ 1~ -6.096932e+01~ -1.993244e+02~  1.000000e+00
1423-P_99~ Pumping~ 1~ -8.347955e+01~ -1.994145e+02~  1.000000e+00
1424-P_99~ Pumping~ 1~ -4.956838e+01~ -1.993399e+02~  1.000000e+00
1425-P_99~ Pumping~ 1~ -3.997676e+01~ -1.992289e+02~  1.000000e+00
142-P_98~ Pumping~ 1~ -3.595105e+01~ -1.992132e+02~  1.000000e+00
1445-P_99~ Pumping~ 1~ -3.190467e+01~ -1.992030e+02~  1.000000e+00
1447-P_99~ Pumping~ 1~  8.504804e+00~ -1.990788e+02~  1.000000e+00
1457-P_99~ Pumping~ 1~  1.432460e+01~  1.008601e+01~  1.000000e+00
1458-P_99~ Pumping~ 1~ -4.094072e+01~ -1.992645e+02~  1.000000e+00
1459-P_99~ Pumping~ 1~ -3.232486e+01~ -1.040415e+02~  1.000000e+00
1460-P_99~ Pumping~ 1~ -3.757855e+01~ -1.876356e+02~  1.000000e+00
1463-P_00~ Pumping~ 1~ -6.533186e+01~ -1.993233e+02~  1.000000e+00
1464-P_00~ Pumping~ 1~  1.504574e+01~ -1.992027e+02~  1.000000e+00
1464-P_99~ Pumping~ 1~  1.504574e+01~ -1.992027e+02~  1.000000e+00
1465-P_00~ Pumping~ 1~  1.504574e+01~ -1.992027e+02~  1.000000e+00
1465-P_99~ Pumping~ 1~  1.530653e+01~ -1.991930e+02~  1.000000e+00
1466-P_00~ Pumping~ 1~  1.504574e+01~ -1.992027e+02~  1.000000e+00
1467-P_00~ Pumping~ 1~  1.504574e+01~ -1.992027e+02~  1.000000e+00
1469-P_00~ Pumping~ 1~ -3.260792e+01~ -1.326395e+02~  1.000000e+00
1471-P_00~ Pumping~ 1~  3.375872e+01~  2.776872e+01~  1.000000e+00
1472-P_00~ Pumping~ 1~  4.923255e+01~  4.324256e+01~  1.000000e+00
1473-P_00~ Pumping~ 1~  3.877735e+01~  3.278735e+01~  1.000000e+00
1474-P_00~ Pumping~ 1~  7.962420e+01~  7.363420e+01~  1.000000e+00
1475-P_00~ Pumping~ 1~  2.903442e+01~  2.304443e+01~  1.000000e+00
1476-P_00~ Pumping~ 1~  7.912751e+01~  7.313751e+01~  1.000000e+00
1477-P_00~ Pumping~ 1~  6.761286e+01~  6.162286e+01~  1.000000e+00
1478-P_00~ Pumping~ 1~  5.341305e+01~  4.730780e+01~  1.000000e+00
1479-P_00~ Pumping~ 1~  5.462789e+01~  4.852351e+01~  1.000000e+00
1480-P_00~ Pumping~ 1~  7.463039e+01~  6.864039e+01~  1.000000e+00
1481-P_00~ Pumping~ 1~  7.060082e+01~  6.461082e+01~  1.000000e+00
1482-P_00~ Pumping~ 1~  6.115361e+01~  5.492528e+01~  1.000000e+00
1485-P_00~ Pumping~ 1~  3.680233e+01~  3.081233e+01~  1.000000e+00
1488-P_00~ Pumping~ 1~ -4.061149e+01~ -1.992340e+02~  1.000000e+00
1489-P_00~ Pumping~ 1~ -3.283780e+01~ -1.992036e+02~  1.000000e+00
1490-P_00~ Pumping~ 1~ -6.604916e+01~ -1.993269e+02~  1.000000e+00
1491-P_00~ Pumping~ 1~ -3.087668e+01~ -1.991850e+02~  1.000000e+00
1498-P_00~ Pumping~ 1~  2.240107e+01~ -1.990865e+02~  1.000000e+00
1500-P_00~ Pumping~ 1~ -4.083415e+01~ -1.992487e+02~  1.000000e+00
1501-P_00~ Pumping~ 1~  1.526723e+01~  1.013640e+01~  1.000000e+00
1505-P_00~ Pumping~ 1~ -2.483514e+01~ -1.991364e+02~  1.000000e+00
1506-P_00~ Pumping~ 1~ -6.600096e+01~ -1.993551e+02~  1.000000e+00
1507-P_00~ Pumping~ 1~ -2.820817e+01~ -1.992897e+02~  1.000000e+00
1508-P_00~ Pumping~ 1~  3.323071e+01~ -9.842866e+01~  1.000000e+00
1509-P_00~ Pumping~ 1~  1.801569e+01~ -2.809565e+01~  1.000000e+00
1512-P_00~ Pumping~ 1~ -3.314553e+01~ -1.082956e+02~  1.000000e+00
1513-P_00~ Pumping~ 1~ -2.861781e+01~ -1.063160e+02~  1.000000e+00
1519-P_00~ Pumping~ 1~  2.193951e+01~  1.528512e+01~  1.000000e+00
1520-P_00~ Pumping~ 1~ -4.153511e+01~ -1.992037e+02~  1.000000e+00
1521-P_00~ Pumping~ 1~  1.015284e+01~ -5.355251e+01~  1.000000e+00
1522-P_00~ Pumping~ 1~ -3.169851e+01~ -8.017971e+01~  1.000000e+00
1524-P_00~ Pumping~ 1~ -3.087668e+01~ -1.991850e+02~  1.000000e+00
1525-P_00~ Pumping~ 1~  1.057078e+01~ -1.691002e+01~  1.000000e+00
1526-P_00~ Pumping~ 1~  1.057078e+01~ -1.691002e+01~  1.000000e+00
1535-P_00~ Pumping~ 1~  1.100244e+01~ -2.582778e+01~  1.000000e+00
1537-P_00~ Pumping~ 1~ -3.590576e+01~ -1.157099e+02~  1.000000e+00
1539-P_00~ Pumping~ 1~  2.362653e+01~  1.763653e+01~  1.000000e+00
1541-P_00~ Pumping~ 1~  6.544288e+01~  5.945288e+01~  1.000000e+00
1542-P_00~ Pumping~ 1~  5.422503e+01~  4.823503e+01~  1.000000e+00
1543-P_00~ Pumping~ 1~  6.639739e+01~  6.040739e+01~  1.000000e+00
1544-P_00~ Pumping~ 1~ -2.843126e+01~ -1.860911e+02~  1.000000e+00
1545-P_00~ Pumping~ 1~ -2.849859e+01~ -1.881546e+02~  1.000000e+00
1547-P_00~ Pumping~ 1~ -2.896405e+01~ -1.182943e+02~  1.000000e+00
1551-P_00~ Pumping~ 1~ -4.427547e+01~ -1.858875e+02~  1.000000e+00
1556-P_00~ Pumping~ 1~ -3.633683e+01~ -1.991776e+02~  1.000000e+00
1567-P_00~ Pumping~ 1~ -4.980263e+01~ -1.993286e+02~  1.000000e+00
1569-P_00~ Pumping~ 1~  6.441104e+00~ -1.990624e+02~  1.000000e+00
1570-P_00~ Pumping~ 1~  8.874100e-01~ -1.778455e+01~  1.000000e+00
1573-P_00~ Pumping~ 1~ -3.930855e+01~ -1.992221e+02~  1.000000e+00
1575-P_00~ Pumping~ 1~ -3.842312e+01~ -1.992250e+02~  1.000000e+00
1580-P_00~ Pumping~ 1~ -6.697928e+01~ -1.963560e+02~  1.000000e+00
1581-P_00~ Pumping~ 1~ -3.080784e+01~ -1.991791e+02~  1.000000e+00
1583-P_00~ Pumping~ 1~ -4.452926e+01~ -1.992666e+02~  1.000000e+00
1584-P_00~ Pumping~ 1~ -4.422061e+01~ -1.992436e+02~  1.000000e+00
1586-P_00~ Pumping~ 1~  1.360411e+01~  1.039532e+01~  1.000000e+00
1587-P_00~ Pumping~ 1~  1.587214e+01~  1.151577e+01~  1.000000e+00
1588-P_00~ Pumping~ 1~  1.587214e+01~  1.151577e+01~  1.000000e+00
1589-P_00~ Pumping~ 1~  1.765887e+01~  1.225748e+01~  1.000000e+00
1590-P_00~ Pumping~ 1~  1.360411e+01~  1.039532e+01~  1.000000e+00
1596-P_00~ Pumping~ 1~ -6.783095e+01~ -1.993358e+02~  1.000000e+00
1597-P_00~ Pumping~ 1~ -8.025421e+01~ -1.994180e+02~  1.000000e+00
1598-P_00~ Pumping~ 1~ -8.519570e+01~ -1.994423e+02~  1.000000e+00
159-P_98~ Pumping~ 1~ -7.400474e+01~ -1.994236e+02~  1.000000e+00
