Well_Name;X-world_co;Y-world_co;Start_Time;Stop_Time[;Rate[m^3/d;Number_of_;Screen_Top;Screen_Bot;row;column;LAYER
VAZAR494;292182.13;9105647.6;0;1;-7.279759;1;6.735391;-32.951078;6;6;2
HRIII_7150;292220;9105575;0;1;-40;1;-36.010598;-183.86091;11;11;6
VAZAR495;292278.26;9105620.1;0;1;-7.279759;1;7.090798;-33.3593;5;15;2
HRIII_7121;292434.99;9105576;0;1;-40;1;-38.839877;-184.40829;5;32;6
VAZAR496;292374.39;9105592.5;0;1;-7.279759;1;6.677021;-28.790288;6;26;2
HRIII_7296;292527;9105546;0;1;-40;1;-42.539785;-185.36777;6;41;6
VAZAR497;292470.51;9105564.9;0;1;-7.279759;1;6.217856;-32.648682;6;36;2
VAZAR498;292566.64;9105537.4;0;1;-7.279759;1;5.908608;-36.849746;5;45;2
3075-P_04;292680;9105485;0;1;-44;1;-49.690943;-187.97195;7;58;6
4187-P_08;292604.84;9105448.6;0;1;-15;1;4.218897;-45.2393;13;52;2
VAZAR499;292662.76;9105509.8;0;1;-7.279759;1;3.950712;-45.030804;6;55;2
VAZAR500;292758.89;9105482.2;0;1;-7.279759;1;1.479714;-49.753922;6;66;2
VAZAR501;292855.02;9105454.7;0;1;-7.128595;1;-0.352077;-50.875766;5;75;2
4795-P_10;292171.08;9105517.1;0;1;-10;1;6.57747;-27.203447;18;8;2
4796-P_10;292134.38;9105507.7;0;1;-10;1;6.57747;-27.203447;20;5;2
HRIII_7142;292200;9105500;0;1;-40;1;-36.010598;-183.86091;19;11;6
HRIII_7449;292117;9105528;0;1;-10;1;6.57747;-27.203447;19;3;2
HRIII_7450;292115;9105503;0;1;-40;1;-37.333829;-183.86823;21;3;6
VAZAR568;292154.57;9105551.5;0;1;-7.279759;1;6.57747;-27.203447;16;6;2
HRIII_7178;292260;9105550;0;1;-40;1;-36.010598;-183.86091;13;16;6
VAZAR569;292250.7;9105523.9;0;1;-7.279759;1;6.249842;-28.494065;16;16;2
VAZAR570;292346.82;9105496.4;0;1;-7.279759;1;5.991761;-29.771027;15;25;2
HRIII_7119;292436;9105455;0;1;-40;1;-40.29344;-184.39366;17;35;6
HRIII_7120;292436;9105454;0;1;-40;1;-40.29344;-184.39366;17;35;6
VAZAR571;292442.95;9105468.8;0;1;-7.279759;1;6.025885;-33.273589;16;36;2
HRIII_7287;292573;9105459;0;1;-10;1;5.816532;-39.79099;13;48;2
HRIII_7289;292558;9105423;0;1;-40;1;-45.78775;-185.54451;17;48;6
VAZAR572;292539.08;9105441.3;0;1;-7.279759;1;5.816532;-39.79099;15;45;2
707-P_99;292673.67;9105430.3;0;1;-10.2;1;-50.440218;-186.67082;13;59;6
VAZAR573;292635.2;9105413.7;0;1;-7.279759;1;4.218897;-45.2393;15;55;2
VAZAR574;292731.33;9105386.1;0;1;-7.279759;1;1.272001;-51.727824;16;66;2
VAZAR575;292827.45;9105358.6;0;1;-6.390195;1;-1.022971;-54.664663;15;75;3
HRIII_7405;292105;9105489;0;1;-40;1;-37.333829;-183.86823;23;2;6
HRIII_7408;292078;9105440;0;1;-40;1;-37.333829;-183.86823;28;1;6
VAZAR642;292127.01;9105455.4;0;1;-7.279759;1;6.519131;-28.687556;25;5;2
2423-P_02;292226;9105419;0;1;-50.5;1;-37.30249;-183.77903;26;16;6
5152-P_11;292222;9105379;0;1;-30;1;-37.30249;-183.77903;30;17;6
HRIII_7154;292208;9105387;0;1;-40;1;-37.30249;-183.77903;30;15;6
HRIII_7164;292169;9105373;0;1;-40;1;-39.17541;-183.80464;32;12;6
HRIII_7478;292166;9105380;0;1;-40;1;-39.17541;-183.80464;32;11;6
VAZAR643;292223.13;9105427.8;0;1;-7.279759;1;6.610568;-28.785149;26;16;2
HRIII_7097;292374;9105361;0;1;-40;1;-42.695693;-184.66143;28;32;6
VAZAR644;292319.26;9105400.3;0;1;-7.279759;1;6.378502;-32.342129;25;25;2
4711-P_10;292382.93;9105395.2;0;1;-40;1;-42.695693;-184.66143;24;32;6
HRIII_7132;292405;9105392;0;1;-40;1;-42.695693;-184.66143;24;34;6
VAZAR645;292415.39;9105372.7;0;1;-7.279759;1;6.026189;-35.026195;25;36;2
VAZAR646;292511.51;9105345.1;0;1;-7.279759;1;5.189773;-40.574372;26;46;2
VAZAR647;292607.64;9105317.6;0;1;-7.279759;1;2.956381;-46.107277;25;55;2
VAZAR648;292703.76;9105290;0;1;-7.279759;1;1.667187;-49.817803;25;65;2
VAZAR649;292799.89;9105262.4;0;1;-5.582977;1;0.427854;-54.761109;26;76;3
VAZAR716;292099.44;9105359.3;0;1;-7.279759;1;6.810333;-30.698494;35;5;2
VAZAR717;292195.57;9105331.7;0;1;-7.279759;1;6.522987;-29.76348;35;15;2
2896-P_04;292328.78;9105292.2;0;1;-40;1;-40.770559;-184.08433;36;29;6
VAZAR718;292291.7;9105304.1;0;1;-7.279759;1;6.285778;-31.656056;36;26;2
1389-P_99;292344.25;9105219.5;0;1;-30;1;-40.695748;-185.91425;42;33;6
VAZAR719;292387.82;9105276.6;0;1;-7.279759;1;5.974065;-35.239417;35;35;2
VAZAR720;292483.95;9105249;0;1;-7.279759;1;4.600475;-40.154829;35;46;2
HRIII_7273;292621;9105178;0;1;-10;1;1.605912;-51.319988;39;61;2
HRIII_7297;292590;9105178;0;1;-40;1;-51.008535;-187.95597;39;58;6
VAZAR721;292580.07;9105221.4;0;1;-7.279759;1;3.201848;-44.480973;36;56;2
